ID1,keyword,"grammar, context",An example of how this word is used:,French,French translation/meaning of the English example
17,abandoned,si,"""abandoned"" is the past tense of:  abandon","abandonné, délaissé",
36,absences,pl,"""absences"" is the plural of:  absence",absences,
46,abused,si,"""abused"" is the past tense of:  abuse","maltraité, abusé, injurié",
48,accelerated,si,"""accelerated"" is the past tense of:  accelerate",accéléré,
54,accepted,si,"""accepted"" is the past tense of:  accept",accepté,
58,accessories,pl,"""accessories"" is the plural of:  accessory",accessoires,
63,accidents,pl,"""accidents"" is the plural of:  accident",accidents,
67,accomplished,si,"""accomplished"" is the past tense of:  accomplish","accompli, réalisé, achevé",
72,accountants,pl,"""accountants"" is the plural of:  accountant",comptables,
74,accounts,pl,"""accounts"" is the plural of:  account",comptes,
81,accused,si,"""accused"" is the past tense of:  accuse","accusé, incriminé",
84,achieved,si,"""achieved"" is the past tense of:  achieve","atteint, réalisé, accompli",
86,acknowledged,si,"""acknowledged"" is the past tense of:  acknowledge","reconnu, admis",
96,acted,si,"""acted"" is the past tense of:  act","joué, agi",
100,activities,pl,"""activities"" is the plural of:  activity",activités,
109,added,si,"""added"" is the past tense of:  add",ajouté,
114,adding machines,pl,"""adding machines"" is the plural of:  adding machine",calculatrices,
120,address books,pl,"""address books"" is the plural of:  address book",carnets d'adresses,
121,addresses,pl,"""addresses"" is the plural of:  address",adresses,
130,adjusted,si,"""adjusted"" is the past tense of:  adjust","réglé, ajusté",
133,admirers,pl,"""admirers"" is the plural of:  admirer","admirateurs, admiratrices",
137,admitted,si,"""admitted"" is the past tense of:  admit",,
140,adopted,si,"""adopted"" is the past tense of:  adopt",,
147,advanced,si,"""advanced"" is the past tense of:  advance",,
158,advertised,si,"""advertised"" is the past tense of:  advertise",,
160,advertisements,pl,"""advertisements"" is the plural of:  advertisement",publicités,
165,advised,si,"""advised"" is the past tense of:  advise",conseillé,
174,affirmed,si,"""affirmed"" is the past tense of:  affirm",,
177,afforded,si,"""afforded"" is the past tense of:  afford",,
