"Date de création","Date de modification","concept","specificity","context","grammar, syntax, context","frequency","keyword","Pronunciation","Listen to the example","entry letter","French","An example of how this word is used:","French translation/meaning of the English example","plural and/or 3rd person form","antonyms","synonyms","homonyms","comparative","superlative","infinitive","simple past","past participle","present participle","frequent uses","For more","Id","image","video","CL syntax pdf","Look it up in Wordnik!"
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"article","article","VH","a","MF47129.mp3","EX47129.mp3","a","un, une","""A horse! A horse! My kingdom for a horse!""","""Un cheval ! Un cheval ! Mon royaume pour un cheval !"" (Shakespeare, Richard III, V.iv.)",,,,,,,,,,,,"For more, see: ""an"" ""one""",1,,,,"http://www.wordnik.com"
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"alphabet","alphabet","VH","a","MF22001.mp3","EX22001.mp3",,"la lettre ""A"" ","A as in apple.","alphabet",,,,,,,,,,,,,2,,,,"http://www.wordnik.com/a"
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"article","article","VH","a","MF47129.mp3","EX47130.mp3","b","un, une","One of you is a traitor.","L'un de vous est un traître.",,,,,,,,,,,,"For more, see: ""an"" ""one""",3,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"quantity","pronoun, quantity","H","a bit","MF48136.mp3","EX48136.mp3","a","un peu","I've only got a little bit of work left to do. Just give me a bit more time.","Il ne me reste qu'un petit peu de travail à faire. Donnez-moi seulement un peu plus de temps.","bits","a lot, much","little, morsel, fragment",,,,,,,,"A little bit = some","For more, see: ""bite"" ""piece"" ""a little""",4,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"quantity","pronoun, quantity","H","a few","MF24464.mp3","EX24464.mp3","a","quelques-uns, quelques-unes","Since the truffles are expensive, we'll only buy a few kilos.","Comme les truffes sont chères, nous n'allons en acheter que quelques-unes.",,"many","handful, scattering, smattering, sprinkling",,,,,,,,"A few...: un peu de","For more, see: ""a few"" ""some"" ""little""",5,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"quantity","adjective quantity","VH","a few","MF04001.mp3","EX04001.mp3",,"quelques","Some journalists came to my house to interview me. A few minutes later, all my neighbors were standing in front of my door.","Des journalistes sont venus chez moi pour m'interviewer. Quelques minutes plus tard, tous mes voisins étaient devant ma porte.",,"a lot","handful, scattering, a little",,,,,,,,"few + s pl.: peu de","For more, see: ""few"" ""some"" ""a little""",6,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"idiomatic expression","idiomatic expression","H","a great deal of","MF48081.mp3","EX48081.mp3",,"beaucoup de","There's a great deal of work to do. You should get down to it right now.","Il y a beaucoup de travail à faire. Vous devriez vous y mettre dès maintenant.",,"a tad, a little, a bit","much, tons of, considerable amount, significant amount",,,,,,,,,"For more, see: ""deal"" ""great"" ""much"" ""many"" ""a lot of"" ""lots of""",7,,,,"http://www.wordnik.com/words/a great deal of"
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,"quantity","adjective, quantity","VH","a little","MF56001.mp3","MS0001.mp3",,"un peu (de)","Give me a little sugar for my coffee, please, just a little.","Donne-moi un peu de sucre pour mon café, s'il te plaît, juste un peu.",,"a lot","some",,,,,,,,,"For more, see: ""little"" ""some"" ""a few"" ""bit""",8,,,,"http://www.wordnik.com/words/a little"
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"quantity","adverb, quantity","VH","a lot","MF45056.mp3","EX45056.mp3",,"beaucoup","She talks a lot. In fact you can hardly get a word in edgewise.","Elle parle beaucoup, tellement qu'on ne réussit guère à placer un mot.",,"a little","a great deal, considerable amount",,,,,,,,"a lot of: beaucoup de","For more, see: ""a lot of"" ""lot"" ""much""",9,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"quantity","adjective quantity","VH","a lot of","MF04002.mp3","EX04002.mp3",,"beaucoup de","There were a lot of people at the art exhibition yesterday.","Il y avait beaucoup de monde hier à l'exposition d'art.",,"a few, a little","many, a lot, tons, a great many, considerable",,,,,,,,"a lot (adv)","For more, see: ""a lot"" ""lot"" ""lots of"" ""much"" ""many""",10,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"idiomatic expression","idiomatic expression","M","a sensitive nerve","MF48068.mp3","EX48068.mp3","a","une corde sensible","Now that touches a sensitive nerve...","Ici vous touchez la corde sensible...","nerves",,,,,,,,,,,,11,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"idiomatic expression","idiomatic expression","M","a straight face","MF48082.mp3","EX48082.mp3",,"un air sérieux, impassible","He's so funny that it's hard for me to keep a straight face.","Il est tellement drôle qu'il m'est difficile de garder mon sérieux.",,"lighthearted, flippant, light","solemn, grave, serious",,,,,,,,,"For more, see: ""straight"" ""face""",12,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"idiomatic expression","idiomatic expression","L","a tad","MF48083.mp3","EX48083.mp3",,"un peu","I'm a tad tired now. Please leave me alone.","Je suis un peu fatigué maintenant, laissez-moi, je vous prie.",,"very, extremely, awfully","a little, a bit",,,,,,,,,,13,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"time","adverb, time","VH","a.m.","MF45098.mp3","EX45098.mp3",,"du matin","I'm totally confused!  Is it 3 a.m. or 3 p.m.?","Je suis complètement déboussolé, il est 3 h du matin ou de l'après-midi ?",,"p.m.","morning",,,,,,,,,"For more, see: ""morning"" ""p.m.""",14,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,,"verb","VH","abandon","MF24523.mp3","EX24523.mp3","a","abandonner, renoncer à","Faced with such a strong reaction,  the prime minister had to abandon his projects.","Face à des réactions aussi violentes, le premier ministre a dû renoncer à ses projets.",,"retain","quit, renounce, relinquish, give up",,,,"to abandon","abandoned","abandoned","abandoning",,"For more, see: ""give in"" ""give up"" ""drop out"" ""relinquish""",15,,,,
"2011-06-28T18:39:34","2011-06-28T18:39:41",,,"past participle","verb, past participle","VH","abandoned","MF56002.mp3","EX56002.mp3","a","abandonné","I'm sure that that old abandoned house on the hill is haunted.","Je suis sûre que la vieille maison abandonnée sur la colline est hantée.",,"retain","quit, renounce, relinquish, give up",,,,"to abandon","abandoned","abandoned","abandoning",,"For more, see: ""give in"" ""give up"" ""drop out"" ""relinquish""",16,,,,
"2011-06-28T18:39:34","2011-09-06T18:56:21",,,,"verb, past tense",,"abandoned","MF63001.mp3","MS0002.mp3","b","abandonné","""abandoned"" is the past tense of:  abandon",,,,,,,,,,,,,,17,,,,
